Qty,Name,Vendor,Item number/Link
4,00-90 nut,McMaster,92736A112
1,00-90 screw 1/2'',McMaster,92482A235
3,00-90 screw 1/4'',McMaster,93701A005
1,2-56 nylon screw 1/4'',McMaster,95868A132
1,000-120 screw 1/8'',McMaster,90910A600
 1-3,male header pin,DigiKey,SAM1067-40-ND
